Khu vực,Năm,Diện tích,Dân số,Mật độ dân số
TP.Hồ Chí Minh,2023,2095.4,9457,4513.1
TP.Hồ Chí Minh,2024,2095.4,9544,4554.6
Thanh Hóa,2019,11114.6,3646,328
Thanh Hóa,2020,11114.7,3665,330
Thanh Hóa,2021,11114.7,3716,334
Thanh Hóa,2022,11114.7,3722,335
Thanh Hóa,2023,11114.7,3740,336.4
Thanh Hóa,2024,11114.7,3764,338.7
Thái Bình,2019,1586.4,1862,1174
Thái Bình,2020,1584.6,1870,1180
Thái Bình,2021,1584.6,1876,1184
Thái Bình,2022,1584.6,1878,1185
Thái Bình,2023,1584.6,1882,1187.9
Thái Bình,2024,1584.6,1890,1193
Thái Nguyên,2019,3526.6,1291,366
Thái Nguyên,2020,3522,1308,371
Thái Nguyên,2021,3522,1323,376
Thái Nguyên,2022,3522,1336,379
Thái Nguyên,2023,3522,1350,383.4
Thái Nguyên,2024,3522,1365,387.6
Huế,2019,4902.4,1130,230
Huế,2020,4947.1,1134,229
Huế,2021,4947.1,1154,233
Huế,2022,4947.1,1160,235
Huế,2023,4947.1,1166,235.8
Huế,2024,4947.1,1179,238.2
Tiền Giang,2019,2510.6,1766,704
Tiền Giang,2020,2556.4,1772,693
Tiền Giang,2021,2556.4,1779,696
Tiền Giang,2022,2556.4,1785,698
Tiền Giang,2023,2556.4,1791,700.5
Tiền Giang,2024,2556.4,1796,702.6
Trà Vinh,2019,2358.3,1009,428
Trà Vinh,2020,2390.8,1010,422
Trà Vinh,2021,2390.8,1019,426
Trà Vinh,2022,2390.8,1019,426
Trà Vinh,2023,2390.8,1020,426.6
Trà Vinh,2024,2390.8,1024,428.3
Tuyên Quang,2019,5867.9,786,134
Tuyên Quang,2020,5867.9,793,135
Tuyên Quang,2021,5868,802,137
Tuyên Quang,2022,5868,806,137
Tuyên Quang,2023,5867.9,812,138.4
Tuyên Quang,2024,5868,820,139.8
Tây Ninh,2019,4041.3,1172,290
Tây Ninh,2020,4041.7,1178,292
Tây Ninh,2021,4041.7,1182,292
Tây Ninh,2022,4041.7,1189,294
Tây Ninh,2023,4041.7,1195,295.6
Tây Ninh,2024,4041.7,1203,297.6
Vĩnh Long,2019,1525.7,1023,670
Vĩnh Long,2020,1525.7,1023,670
Vĩnh Long,2021,1525.7,1029,674
Vĩnh Long,2022,1525.7,1029,674
Vĩnh Long,2023,1525.7,1030,674.8
Vĩnh Long,2024,1525.7,1037,679.9
Vĩnh Phúc,2019,1235.9,1155,934
Vĩnh Phúc,2020,1236,1171,948
Vĩnh Phúc,2021,1236,1192,964
Vĩnh Phúc,2022,1236,1198,969
Vĩnh Phúc,2023,1236,1211,980.1
Vĩnh Phúc,2024,1236,1225,991.3
Yên Bái,2019,6887.5,823,119
Yên Bái,2020,6892.7,832,121
Yên Bái,2021,6892.7,843,122
Yên Bái,2022,6892.7,847,123
Yên Bái,2023,6892.7,856,124.1
Yên Bái,2024,6892.7,864,125.4
Điện Biên,2019,9541.3,602,63
Điện Biên,2020,9539.9,614,64
Điện Biên,2021,9539.9,625,66
Điện Biên,2022,9539.9,636,67
Điện Biên,2023,9539.9,646,67.7
Điện Biên,2024,9539.9,657,68.8
Đà Nẵng,2019,1284.9,1141,888
Đà Nẵng,2020,1284.7,1170,910
Đà Nẵng,2021,1284.7,1196,931
Đà Nẵng,2022,1284.7,1220,950
Đà Nẵng,2023,1284.7,1245,969.2
Đà Nẵng,2024,1284.7,1276,993.2
Đắk Lắk,2019,13030.5,1873,144
Đắk Lắk,2020,13070.4,1887,144
Đắk Lắk,2021,13070.4,1909,146
Đắk Lắk,2022,13070.4,1918,147
Đắk Lắk,2023,13070.4,1932,147.8
Đắk Lắk,2024,13070.4,1946,148.9
Đắk Nông,2019,6509.3,626,96
Đắk Nông,2020,6509.3,638,98
Đắk Nông,2021,6509.3,664,102
Đắk Nông,2022,6509.3,671,103
Đắk Nông,2023,6509.3,682,104.8
Đắk Nông,2024,6509.3,696,106.9
Đồng Nai,2019,5863.6,3114,531
Đồng Nai,2020,5863.6,3177,542
Đồng Nai,2021,5863.6,3169,540
Đồng Nai,2022,5863.6,3256,555
Đồng Nai,2023,5863.6,3311,564.6
Đồng Nai,2024,5863.6,3365,574
Đồng Tháp,2019,3383.8,1599,472
Đồng Tháp,2020,3382.3,1600,473
Đồng Tháp,2021,3382.3,1601,473
Đồng Tháp,2022,3382.3,1600,473
Đồng Tháp,2023,3382.3,1600,473.1
Đồng Tháp,2024,3382.3,1601,473.4
