Khu vực,Năm,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên
Nghệ An,2019,20.8,7,13.8
Nghệ An,2020,20.06,6.71,13.36
Nghệ An,2021,18.2,8.6,9.6
Nghệ An,2022,17.5,8.38,9.12
Nghệ An,2023,16.62,7.37,9.26
Nghệ An,2024,15.45,5.78,9.67
Ninh Bình,2019,16.9,7.1,9.8
Ninh Bình,2020,16.4,6.82,9.58
Ninh Bình,2021,15.3,6.2,9.16
Ninh Bình,2022,13.9,6.97,6.93
Ninh Bình,2023,12.15,5.58,6.58
Ninh Bình,2024,14.55,6.38,8.17
Ninh Thuận,2019,15.5,6.4,9.1
Ninh Thuận,2020,15.69,6.15,9.54
Ninh Thuận,2021,17.6,4.3,13.28
Ninh Thuận,2022,16.3,6.36,9.94
Ninh Thuận,2023,15.18,6.08,9.1
Ninh Thuận,2024,14.09,6.99,7.1
Phú Thọ,2019,17.2,7.4,9.8
Phú Thọ,2020,16.88,7.11,9.76
Phú Thọ,2021,15,8.1,6.88
Phú Thọ,2022,15.1,7.57,7.53
Phú Thọ,2023,13.3,5.89,7.41
Phú Thọ,2024,13.08,6.92,6.16
Phú Yên,2019,13.9,6.5,7.3
Phú Yên,2020,14.65,6.29,8.36
Phú Yên,2021,14.1,6.9,7.15
Phú Yên,2022,14.4,7.19,7.21
Phú Yên,2023,13.15,7.31,5.83
Phú Yên,2024,12.52,7.65,4.86
Quảng Bình,2019,17.5,6.5,11
Quảng Bình,2020,17.16,6.28,10.88
Quảng Bình,2021,17.7,6.9,10.81
Quảng Bình,2022,14.7,8.21,6.49
Quảng Bình,2023,18.64,6.77,11.87
Quảng Bình,2024,16.05,6.06,9.98
Quảng Nam,2019,16.2,7.1,9.1
Quảng Nam,2020,16.19,6.83,9.35
Quảng Nam,2021,16.8,4.9,11.98
Quảng Nam,2022,14.9,7.31,7.59
Quảng Nam,2023,14.81,6.32,8.5
Quảng Nam,2024,14.12,6.89,7.23
Quảng Ngãi,2019,15,6.4,8.6
Quảng Ngãi,2020,14.95,6.12,8.83
Quảng Ngãi,2021,13.6,7.4,6.19
Quảng Ngãi,2022,15.9,5.79,10.11
Quảng Ngãi,2023,13.51,6.61,6.9
Quảng Ngãi,2024,13.46,5.96,7.51
Quảng Ninh,2019,16.2,5.5,10.7
Quảng Ninh,2020,15.91,5.27,10.64
Quảng Ninh,2021,14.4,4,10.41
Quảng Ninh,2022,15.8,5.15,10.65
Quảng Ninh,2023,12.69,5.46,7.24
Quảng Ninh,2024,13.36,4.5,8.86
Quảng Trị,2019,15.7,7.2,8.5
Quảng Trị,2020,16.49,6.94,9.55
Quảng Trị,2021,15.6,7.4,8.22
Quảng Trị,2022,15.6,8.42,7.18
Quảng Trị,2023,14.57,6.72,7.85
Quảng Trị,2024,14.79,7.21,7.58
Sóc Trăng,2019,11.8,6,5.8
Sóc Trăng,2020,11.8,5.79,6.01
Sóc Trăng,2021,11,5.7,5.32
Sóc Trăng,2022,11.2,8.25,2.95
Sóc Trăng,2023,11.28,5.67,5.61
Sóc Trăng,2024,10.73,5.72,5.01
Sơn La,2019,18.4,6.7,11.7
Sơn La,2020,18.97,6.45,12.52
Sơn La,2021,17.8,6.4,11.44
Sơn La,2022,17,5.55,11.45
Sơn La,2023,15.41,4.92,10.5
Sơn La,2024,16.34,4.75,11.59
TP.Hồ Chí Minh,2019,14.1,4.7,9.5
TP.Hồ Chí Minh,2020,14.48,4.48,10
TP.Hồ Chí Minh,2021,14.8,5.1,9.77
TP.Hồ Chí Minh,2022,13.6,6.39,7.21
TP.Hồ Chí Minh,2023,12.15,4.76,7.38
TP.Hồ Chí Minh,2024,12.22,3.02,9.2
Thanh Hóa,2019,18,7.8,10.3
Thanh Hóa,2020,16.94,7.45,9.49
Thanh Hóa,2021,14.1,6.7,7.35
Thanh Hóa,2022,15.7,7.93,7.77
Thanh Hóa,2023,13.92,6.59,7.33
Thanh Hóa,2024,15.17,6.14,9.03
Thái Bình,2019,15.2,7.5,7.6
Thái Bình,2020,13.82,7.24,6.58
Thái Bình,2021,14.6,6,8.63
Thái Bình,2022,12.7,9.59,3.11
Thái Bình,2023,12.06,6.8,5.26
Thái Bình,2024,12.34,7.69,4.66
Thái Nguyên,2019,17.6,6.9,10.8
Thái Nguyên,2020,15.82,6.58,9.24
Thái Nguyên,2021,14.7,5.2,9.5
Thái Nguyên,2022,14.9,6.78,8.12
Thái Nguyên,2023,13.74,5.26,8.48
Thái Nguyên,2024,13.34,6.97,6.37
Tiền Giang,2019,12.6,7.8,4.7
Tiền Giang,2020,13.1,7.51,5.58
Tiền Giang,2021,12.2,7.3,4.87
Tiền Giang,2022,11.5,8.92,2.58
Tiền Giang,2023,10.92,8.46,2.45
