Khu vực,Năm,Dân số
Sóc Trăng,2023,1199
Sóc Trăng,2024,1205
Bạc Liêu,2019,908
Bạc Liêu,2020,913
Bạc Liêu,2021,919
Bạc Liêu,2022,922
Bạc Liêu,2023,925
Bạc Liêu,2024,929
Cà Mau,2019,1194
Cà Mau,2020,1194
Cà Mau,2021,1209
Cà Mau,2022,1208
Cà Mau,2023,1207
Cà Mau,2024,1212
