Khu vực,Năm,Giới tính,Dân số
Lai Châu,2024,Nữ,245
Sơn La,2019,Nam,635
Sơn La,2020,Nam,644
Sơn La,2021,Nam,653
Sơn La,2022,Nam,660
Sơn La,2023,Nam,667
Sơn La,2024,Nam,675
Sơn La,2019,Nữ,618
Sơn La,2020,Nữ,626
Sơn La,2021,Nữ,634
Sơn La,2022,Nữ,640
Sơn La,2023,Nữ,647
Sơn La,2024,Nữ,655
Hòa Bình,2019,Nam,428
Hòa Bình,2020,Nam,433
Hòa Bình,2021,Nam,438
Hòa Bình,2022,Nam,441
Hòa Bình,2023,Nam,443
Hòa Bình,2024,Nam,450
Hòa Bình,2019,Nữ,428
Hòa Bình,2020,Nữ,428
Hòa Bình,2021,Nữ,434
Hòa Bình,2022,Nữ,435
Hòa Bình,2023,Nữ,437
Hòa Bình,2024,Nữ,444
Thanh Hóa,2019,Nam,1819
Thanh Hóa,2020,Nam,1821
Thanh Hóa,2021,Nam,1848
Thanh Hóa,2022,Nam,1858
Thanh Hóa,2023,Nam,1867
Thanh Hóa,2024,Nam,1880
Thanh Hóa,2019,Nữ,1826
Thanh Hóa,2020,Nữ,1843
Thanh Hóa,2021,Nữ,1868
Thanh Hóa,2022,Nữ,1864
Thanh Hóa,2023,Nữ,1872
Thanh Hóa,2024,Nữ,1885
Nghệ An,2019,Nam,1670
Nghệ An,2020,Nam,1685
Nghệ An,2021,Nam,1708
Nghệ An,2022,Nam,1712
Nghệ An,2023,Nam,1724
Nghệ An,2024,Nam,1740
Nghệ An,2019,Nữ,1668
Nghệ An,2020,Nữ,1680
Nghệ An,2021,Nữ,1701
Nghệ An,2022,Nữ,1708
Nghệ An,2023,Nữ,1717
Nghệ An,2024,Nữ,1732
Hà Tĩnh,2019,Nam,642
Hà Tĩnh,2020,Nam,642
Hà Tĩnh,2021,Nam,651
Hà Tĩnh,2022,Nam,655
Hà Tĩnh,2023,Nam,658
Hà Tĩnh,2024,Nam,661
Hà Tĩnh,2019,Nữ,649
Hà Tĩnh,2020,Nữ,654
Hà Tĩnh,2021,Nữ,663
Hà Tĩnh,2022,Nữ,662
Hà Tĩnh,2023,Nữ,665
Hà Tĩnh,2024,Nữ,669
Quảng Bình,2019,Nam,450
Quảng Bình,2020,Nam,453
Quảng Bình,2021,Nam,457
Quảng Bình,2022,Nam,460
Quảng Bình,2023,Nam,463
Quảng Bình,2024,Nam,465
Quảng Bình,2019,Nữ,447
Quảng Bình,2020,Nữ,449
Quảng Bình,2021,Nữ,453
Quảng Bình,2022,Nữ,454
Quảng Bình,2023,Nữ,456
Quảng Bình,2024,Nữ,459
Quảng Trị,2019,Nam,314
Quảng Trị,2020,Nam,316
Quảng Trị,2021,Nam,322
Quảng Trị,2022,Nam,324
Quảng Trị,2023,Nam,326
Quảng Trị,2024,Nam,329
Quảng Trị,2019,Nữ,319
Quảng Trị,2020,Nữ,321
Quảng Trị,2021,Nữ,326
Quảng Trị,2022,Nữ,327
Quảng Trị,2023,Nữ,328
Quảng Trị,2024,Nữ,331
Huế,2019,Nam,559
Huế,2020,Nam,561
Huế,2021,Nam,571
Huế,2022,Nam,578
Huế,2023,Nam,581
Huế,2024,Nam,587
Huế,2019,Nữ,570
Huế,2020,Nữ,572
Huế,2021,Nữ,582
Huế,2022,Nữ,582
Huế,2023,Nữ,585
Huế,2024,Nữ,591
Ðà Nẵng,2019,Nam,562
Ðà Nẵng,2020,Nam,579
Ðà Nẵng,2021,Nam,591
Ðà Nẵng,2022,Nam,604
Ðà Nẵng,2023,Nam,617
Ðà Nẵng,2024,Nam,632
Ðà Nẵng,2019,Nữ,579
Ðà Nẵng,2020,Nữ,591
Ðà Nẵng,2021,Nữ,604
Ðà Nẵng,2022,Nữ,616
Ðà Nẵng,2023,Nữ,628
Ðà Nẵng,2024,Nữ,644
Quảng Nam,2019,Nam,736
Quảng Nam,2020,Nam,740
Quảng Nam,2021,Nam,747
Quảng Nam,2022,Nam,750
Quảng Nam,2023,Nam,754
Quảng Nam,2024,Nam,763
Quảng Nam,2019,Nữ,761
Quảng Nam,2020,Nữ,765
Quảng Nam,2021,Nữ,772
Quảng Nam,2022,Nữ,769
Quảng Nam,2023,Nữ,772
Quảng Nam,2024,Nữ,781
Quảng Ngãi,2019,Nam,609
Quảng Ngãi,2020,Nam,610
Quảng Ngãi,2021,Nam,615
Quảng Ngãi,2022,Nam,620
Quảng Ngãi,2023,Nam,621
Quảng Ngãi,2024,Nam,627
Quảng Ngãi,2019,Nữ,623
Quảng Ngãi,2020,Nữ,624
Quảng Ngãi,2021,Nữ,629
Quảng Ngãi,2022,Nữ,626
Quảng Ngãi,2023,Nữ,627
Quảng Ngãi,2024,Nữ,633
Bình Ðịnh,2019,Nam,733
Bình Ðịnh,2020,Nam,733
Bình Ðịnh,2021,Nam,743
Bình Ðịnh,2022,Nam,748
Bình Ðịnh,2023,Nam,749
Bình Ðịnh,2024,Nam,755
Bình Ðịnh,2019,Nữ,755
Bình Ðịnh,2020,Nữ,755
Bình Ðịnh,2021,Nữ,765
Bình Ðịnh,2022,Nữ,756
Bình Ðịnh,2023,Nữ,757
Bình Ðịnh,2024,Nữ,763
Phú Yên,2019,Nam,439
Phú Yên,2020,Nam,440
Phú Yên,2021,Nam,440
Phú Yên,2022,Nam,442
Phú Yên,2023,Nam,442
Phú Yên,2024,Nam,446
Phú Yên,2019,Nữ,434
Phú Yên,2020,Nữ,435
Phú Yên,2021,Nữ,435
Phú Yên,2022,Nữ,435
Phú Yên,2023,Nữ,435
Phú Yên,2024,Nữ,439
Khánh Hòa,2019,Nam,614
Khánh Hòa,2020,Nam,618
Khánh Hòa,2021,Nam,621
Khánh Hòa,2022,Nam,625
Khánh Hòa,2023,Nam,629
Khánh Hòa,2024,Nam,633
Khánh Hòa,2019,Nữ,619
Khánh Hòa,2020,Nữ,623
Khánh Hòa,2021,Nữ,627
Khánh Hòa,2022,Nữ,629
Khánh Hòa,2023,Nữ,632
Khánh Hòa,2024,Nữ,636
Ninh Thuận,2019,Nam,296
Ninh Thuận,2020,Nam,300
Ninh Thuận,2021,Nam,301
Ninh Thuận,2022,Nam,303
Ninh Thuận,2023,Nam,305
Ninh Thuận,2024,Nam,311
Ninh Thuận,2019,Nữ,295
Ninh Thuận,2020,Nữ,294
Ninh Thuận,2021,Nữ,295
Ninh Thuận,2022,Nữ,295
Ninh Thuận,2023,Nữ,296
Ninh Thuận,2024,Nữ,302
Bình Thuận,2019,Nam,619
Bình Thuận,2020,Nam,623
Bình Thuận,2021,Nam,627
Bình Thuận,2022,Nam,631
Bình Thuận,2023,Nam,635
Bình Thuận,2024,Nam,638
Bình Thuận,2019,Nữ,613
Bình Thuận,2020,Nữ,616
Bình Thuận,2021,Nữ,619
Bình Thuận,2022,Nữ,621
Bình Thuận,2023,Nữ,624
Bình Thuận,2024,Nữ,628
Kon Tum,2019,Nam,273
Kon Tum,2020,Nam,279
Kon Tum,2021,Nam,285
Kon Tum,2022,Nam,291
Kon Tum,2023,Nam,298
Kon Tum,2024,Nam,303
Kon Tum,2019,Nữ,270
Kon Tum,2020,Nữ,277
Kon Tum,2021,Nữ,283
Kon Tum,2022,Nữ,288
Kon Tum,2023,Nữ,294
Kon Tum,2024,Nữ,298
