Khu vực,Năm,Loại khu vực,Dân số
Kiên Giang,2020,Nông thôn,1237
Kiên Giang,2021,Nông thôn,1248
Kiên Giang,2022,Nông thôn,1229
Kiên Giang,2023,Nông thôn,1227
Kiên Giang,2024,Nông thôn,1239
Cần Thơ,2019,Thành thị,861
Cần Thơ,2020,Thành thị,869
Cần Thơ,2021,Thành thị,877
Cần Thơ,2022,Thành thị,883
Cần Thơ,2023,Thành thị,888
Cần Thơ,2024,Thành thị,899
Cần Thơ,2019,Nông thôn,375
Cần Thơ,2020,Nông thôn,372
Cần Thơ,2021,Nông thôn,370
Cần Thơ,2022,Nông thôn,369
Cần Thơ,2023,Nông thôn,371
Cần Thơ,2024,Nông thôn,373
Hậu Giang,2019,Thành thị,198
Hậu Giang,2020,Thành thị,204
Hậu Giang,2021,Thành thị,213
Hậu Giang,2022,Thành thị,205
Hậu Giang,2023,Thành thị,205
Hậu Giang,2024,Thành thị,205
Hậu Giang,2019,Nông thôn,534
Hậu Giang,2020,Nông thôn,526
Hậu Giang,2021,Nông thôn,517
Hậu Giang,2022,Nông thôn,524
Hậu Giang,2023,Nông thôn,524
Hậu Giang,2024,Nông thôn,525
Sóc Trăng,2019,Thành thị,388
Sóc Trăng,2020,Thành thị,387
Sóc Trăng,2021,Thành thị,391
Sóc Trăng,2022,Thành thị,406
Sóc Trăng,2023,Thành thị,406
Sóc Trăng,2024,Thành thị,411
Sóc Trăng,2019,Nông thôn,811
Sóc Trăng,2020,Nông thôn,809
Sóc Trăng,2021,Nông thôn,815
Sóc Trăng,2022,Nông thôn,792
Sóc Trăng,2023,Nông thôn,793
Sóc Trăng,2024,Nông thôn,794
Bạc Liêu,2019,Thành thị,252
Bạc Liêu,2020,Thành thị,254
Bạc Liêu,2021,Thành thị,255
Bạc Liêu,2022,Thành thị,256
Bạc Liêu,2023,Thành thị,257
Bạc Liêu,2024,Thành thị,258
Bạc Liêu,2019,Nông thôn,656
Bạc Liêu,2020,Nông thôn,660
Bạc Liêu,2021,Nông thôn,664
Bạc Liêu,2022,Nông thôn,666
Bạc Liêu,2023,Nông thôn,668
Bạc Liêu,2024,Nông thôn,671
Cà Mau,2019,Thành thị,272
Cà Mau,2020,Thành thị,271
Cà Mau,2021,Thành thị,275
Cà Mau,2022,Thành thị,276
Cà Mau,2023,Thành thị,278
Cà Mau,2024,Thành thị,285
Cà Mau,2019,Nông thôn,923
Cà Mau,2020,Nông thôn,923
Cà Mau,2021,Nông thôn,933
Cà Mau,2022,Nông thôn,932
Cà Mau,2023,Nông thôn,929
Cà Mau,2024,Nông thôn,927
